imdb_id,popularity,budget,revenue,title,runtime,release_date
tt3640682,0.318459,0,0,I Smile Back,85,10/23/2015
tt3401748,0.315196,0,0,Oddball,95,9/17/2015
tt2545428,0.314198999999999,0,2334228,Meru,89,1/25/2015
tt4661600,0.422901,0,0,Sanjay's Super Team,7,11/25/2015
tt3062976,0.307395,0,3447633,Learning to Drive,105,8/6/2015
tt3703148,0.305916,0,0,Christmas Eve,95,12/4/2015
tt1015471,0.302474,0,0,The Sisterhood of Night,104,4/10/2015
tt3899796,0.301343,0,0,Sharknado 3: Oh Hell No!,88,7/22/2015
tt3957956,0.300128,0,0,12 Rounds 3: Lockdown,90,9/11/2015
tt4973112,0.198522,0,0,Hitting the Apex,138,9/2/2015
tt3038734,0.299427,0,4444,Club Life,90,5/29/2015
tt4262142,0.298861,0,0,Cleveland Abduction,88,5/2/2015
tt4337690,0.298751,5000000,4842699,90 Minutes in Heaven,121,9/11/2015
tt4060576,0.298628,0,0,Lavalantula,83,8/8/2015
tt4145304,0.295946,0,0,Unexpected,90,7/24/2015
tt3878542,0.404363,3500000,0,Justice League: Throne of Atlantis,72,1/27/2015
tt4116030,0.26501,0,0,Lady Chatterley's Lover,89,9/6/2015
tt1943014,0.292437,0,0,The Wicked Within,91,10/16/2015
tt4180576,0.291244,0,0,Bridgend,95,1/22/2015
tt2944198,0.290424,0,0,Backcountry,92,3/20/2015
tt2016335,0.289526,700000,0,Walter,87,3/13/2015
tt3836512,0.288598,500000,0,Ratter,80,1/24/2015
tt4271918,0.309811,0,0,An Inspector Calls,86,9/13/2015
tt2580382,0.286266,0,0,The Survivalist,104,4/15/2015
tt3557406,0.28337,0,0,Don't Grow Up,81,3/11/2015
tt3602128,0.283194,2000000,0,Night Of The Living Deb,85,8/29/2015
tt2998406,0.282237,0,0,No Stranger Than Love,89,4/30/2015
tt3745906,0.280878,0,0,The Hive,89,9/14/2015
tt3118874,0.278583,0,0,Back in Time,95,10/20/2015
tt2885628,0.277844,0,0,Nina Forever,98,3/14/2015
tt3698558,0.277613,0,0,Some Kind Of Hate,82,5/2/2015
tt3952108,0.277035,1000000,0,The Dead Room,80,10/1/2015
tt3619102,0.272995,0,0,Condemned,83,11/13/2015
tt3591436,0.270842,0,0,Night Owls,91,3/15/2015
tt3399484,0.270786,0,0,The Sand,84,8/28/2015
